"","name","line","type","rep","time","RAD80","RAD50","RAD20","FoG80","FoG50","FoG20","slope"
"64","A08_R7C_T0","A08","R7C"," 7","T0",11,12,14,0.07,0.08,0.16,267
"65","A08_R8A_EVO","A08","R8A"," 8","EVO",11,11,13,0.08,0.07,0.15,264.4
"66","A08_R8A_T0","A08","R8A"," 8","T0",11,12,13,0.08,0.1,0.14,279.6
"67","A08_R8B_EVO","A08","R8B"," 8","EVO",10,11,12,0.07,0.12,0.16,264.5
"68","A08_R8B_T0","A08","R8B"," 8","T0",10,11,12,0.07,0.09,0.12,273.9
"69","A08_R8C_EVO","A08","R8C"," 8","EVO",11,11,12,0.07,0.07,0.1,248.4
"70","A08_R8C_T0","A08","R8C"," 8","T0",11,12,13,0.06,0.08,0.11,257.5
"71","A08_R9A_T0","A08","R9A"," 9","T0",8,9,10,0.09,0.13,0.18,282.2
"72","A08_R9B_T0","A08","R9B"," 9","T0",10,11,12,0.08,0.1,0.14,235.4
"73","A08_R9C_T0","A08","R9C"," 9","T0",11,12,14,0.06,0.09,0.17,267
"74","A18_R1A_EVO","A18","R1A"," 1","EVO",14,14,15,0.06,0.06,0.08,292.8
"75","A18_R1B_EVO","A18","R1B"," 1","EVO",11,12,13,0.07,0.1,0.13,286.7
"76","A18_R1C_EVO","A18","R1C"," 1","EVO",11,12,13,0.06,0.08,0.11,292.6
"77","A18_R2A_EVO","A18","R2A"," 2","EVO",11,12,12,0.08,0.1,0.1,244.3
"78","A18_R2B_EVO","A18","R2B"," 2","EVO",10,12,12,0.06,0.11,0.11,264.8
"79","A18_R2C_EVO","A18","R2C"," 2","EVO",10,12,12,0.07,0.11,0.1,254.2
"80","A18_R3A_EVO","A18","R3A"," 3","EVO",11,12,13,0.06,0.08,0.11,288
"81","A18_R3B_EVO","A18","R3B"," 3","EVO",9,10,11,0.06,0.08,0.11,289
"82","A18_R3C_EVO","A18","R3C"," 3","EVO",10,12,13,0.05,0.1,0.14,291.6
"83","A18_R4A_EVO","A18","R4A"," 4","EVO",10,11,12,0.07,0.1,0.12,299.6
"84","A18_R4A_T0","A18","R4A"," 4","T0",13,14,15,0.05,0.07,0.1,264.7
"85","A18_R4B_EVO","A18","R4B"," 4","EVO",10,11,12,0.06,0.09,0.11,315.5
"86","A18_R4B_T0","A18","R4B"," 4","T0",12,13,14,0.05,0.06,0.09,271.6
"87","A18_R4C_EVO","A18","R4C"," 4","EVO",11,12,13,0.06,0.09,0.12,315.3
"88","A18_R4C_T0","A18","R4C"," 4","T0",12,13,14,0.06,0.08,0.11,275.5
"89","A18_R5A_T0","A18","R5A"," 5","T0",13,14,15,0.06,0.08,0.12,254.8
"90","A18_R5B_T0","A18","R5B"," 5","T0",10,11,12,0.05,0.08,0.11,262.7
"91","A18_R5C_T0","A18","R5C"," 5","T0",13,14,15,0.06,0.08,0.12,272.4
"92","A18_R7A_T0","A18","R7A"," 7","T0",11,12,13,0.12,0.11,0.14,263.8
"93","A18_R7B_T0","A18","R7B"," 7","T0",10,11,12,0.06,0.08,0.13,242.1
"94","A18_R7C_T0","A18","R7C"," 7","T0",12,13,14,0.05,0.07,0.1,252.1
"95","A18_R8A_T0","A18","R8A"," 8","T0",13,14,15,0.06,0.08,0.12,277.8
"96","A18_R8B_T0","A18","R8B"," 8","T0",10,12,12,0.06,0.11,0.1,279.2
"97","A18_R8C_T0","A18","R8C"," 8","T0",10,11,12,0.07,0.09,0.12,292.7
