strain,replicate,techRep,drug,time,OD_24h,OD_48h,OD_72h,OD_72h_Mixed
A18,2,B,1.25,1,0.179,0.179,1.238,0.462
A18,3,B,1.25,1,0.186,0.147,0.393,0.097
A18,4,B,1.25,1,0.179,0.195,1.362,0.303
A03,2,C,1.25,0,0.172,0.143,0.403,0.101
A03,3,C,1.25,0,0.169,0.14,0.389,0.091
A03,7,C,1.25,0,0.16,0.139,0.39,0.094
A03,8,C,1.25,0,0.159,0.138,0.384,0.238
A03,2,C,1.25,1,0.152,0.168,1.214,0.28
A03,3,C,1.25,1,0.157,0.149,0.405,0.096
A03,4,C,1.25,1,0.137,0.163,0.928,0.173
A03,8,C,1.25,1,0.112,0.165,0.755,0.137
A04,3,C,1.25,0,0.139,0.137,0.499,0.126
A04,5,C,1.25,0,0.185,0.139,0.43,0.11
A04,6,C,1.25,0,0.184,0.142,0.62,0.132
A04,7,C,1.25,0,0.163,0.137,0.599,0.136
A04,6,C,1.25,1,0.164,0.14,0.627,0.152
A04,7,C,1.25,1,0.158,0.142,0.59,0.126
A04,8,C,1.25,1,0.148,0.198,1.139,0.305
A04,9,C,1.25,1,0.15,0.282,1.692,0.387
A08,7,C,1.25,0,0.151,0.352,1.02,0.566
A08,8,C,1.25,0,0.142,0.354,1.08,0.423
A08,9,C,1.25,0,0.171,0.358,1.042,0.431
A08,10,C,1.25,0,0.096,0.361,1.003,0.394
A08,3,C,1.25,1,0.2,0.902,1.837,0.564
A08,4,C,1.25,1,0.151,1.248,1.956,0.733
A08,7,C,1.25,1,0.148,1.134,1.911,0.583
A08,8,C,1.25,1,0.145,0.919,1.901,0.63
A18,4,C,1.25,0,0.129,0.131,0.327,0.09
A18,5,C,1.25,0,0.126,0.133,0.358,0.086
A18,6,C,1.25,0,0.175,0.215,0.374,0.086
A18,7,C,1.25,0,0.111,0.136,0.417,0.112
A18,1,C,1.25,1,0.113,0.133,0.374,0.114
A18,2,C,1.25,1,0.115,0.163,0.92,0.255
A18,3,C,1.25,1,0.102,0.151,0.372,0.091
A18,4,C,1.25,1,0.132,0.215,1.167,0.26
A03,2,A,1.5,0,0.094,0.151,0.122,0.085
A03,3,A,1.5,0,0.108,0.139,0.153,0.088
A03,7,A,1.5,0,0.1,0.13,0.145,0.087
A03,8,A,1.5,0,0.107,0.104,0.142,0.085
A03,2,A,1.5,1,0.121,0.197,0.418,0.209
A03,3,A,1.5,1,0.118,0.194,0.225,0.117
A03,4,A,1.5,1,0.107,0.193,0.385,0.113
A03,8,A,1.5,1,0.125,0.291,0.481,0.224
A04,3,A,1.5,0,0.109,0.191,0.149,0.086
A04,5,A,1.5,0,0.109,0.147,0.194,0.091
A04,6,A,1.5,0,0.1,0.162,0.148,0.089
A04,7,A,1.5,0,0.097,0.152,0.137,0.087
A04,6,A,1.5,1,0.115,0.079,0.167,0.085
A04,7,A,1.5,1,0.159,0.099,0.207,0.085
A04,8,A,1.5,1,0.18,0.265,0.242,0.086
A04,9,A,1.5,1,0.158,0.163,0.215,0.099
A08,7,A,1.5,0,0.219,0.113,0.232,0.088
A08,8,A,1.5,0,0.167,0.098,0.254,0.086
A08,9,A,1.5,0,0.179,0.315,0.189,0.09
A08,10,A,1.5,0,0.17,0.174,0.199,0.096
A08,3,A,1.5,1,0.15,0.324,1.149,0.283
A08,4,A,1.5,1,0.138,0.472,1.473,0.426
A08,7,A,1.5,1,0.128,0.39,1.408,0.332
A08,8,A,1.5,1,0.113,0.366,1.594,0.575
A18,4,A,1.5,0,0.181,0.091,0.195,0.085
A18,5,A,1.5,0,0.217,0.251,0.235,0.092
A18,6,A,1.5,0,0.194,0.165,0.251,0.09
A18,7,A,1.5,0,0.175,0.302,0.252,0.089
A18,1,A,1.5,1,0.19,0.209,0.284,0.084
A18,2,A,1.5,1,0.219,0.268,0.393,0.147
A18,3,A,1.5,1,0.203,0.169,0.21,0.085
A18,4,A,1.5,1,0.219,0.28,0.324,0.111
A03,2,B,1.5,0,0.195,0.236,0.267,0.086
A03,3,B,1.5,0,0.189,0.279,0.222,0.087
A03,7,B,1.5,0,0.169,0.203,0.2,0.086
A03,8,B,1.5,0,0.111,0.156,0.177,0.087
A03,2,B,1.5,1,0.193,0.241,0.212,0.094
A03,3,B,1.5,1,0.226,0.253,0.267,0.089
A03,4,B,1.5,1,0.228,0.111,0.584,0.125
A03,8,B,1.5,1,0.207,0.195,0.699,0.149
A04,3,B,1.5,0,0.22,0.079,0.212,0.084
A04,5,B,1.5,0,0.227,0.162,0.21,0.086
A04,6,B,1.5,0,0.203,0.231,0.266,0.084
A04,7,B,1.5,0,0.21,0.082,0.229,0.089
A04,6,B,1.5,1,0.206,0.119,0.249,0.092
A04,7,B,1.5,1,0.189,0.194,0.25,0.092
A04,8,B,1.5,1,0.179,0.232,0.41,0.137
A04,9,B,1.5,1,0.122,0.244,0.658,0.226
A08,7,B,1.5,0,0.118,0.084,0.176,0.087
A08,8,B,1.5,0,0.164,0.108,0.214,0.088
A08,9,B,1.5,0,0.176,0.153,0.236,0.089
A08,10,B,1.5,0,0.179,0.09,0.19,0.095
A08,3,B,1.5,1,0.18,0.101,0.515,0.108
A08,4,B,1.5,1,0.181,0.217,0.741,0.192
A08,7,B,1.5,1,0.169,0.278,0.89,0.172
A08,8,B,1.5,1,0.171,0.409,1.024,0.278
A18,4,B,1.5,0,0.124,0.182,0.175,0.085
A18,5,B,1.5,0,0.128,0.139,0.228,0.086
A18,6,B,1.5,0,0.128,0.233,0.195,0.093
A18,7,B,1.5,0,0.091,0.167,0.169,0.088
A18,1,B,1.5,1,0.179,0.257,0.191,0.089
A18,2,B,1.5,1,0.189,0.159,0.27,0.11
A18,3,B,1.5,1,0.26,0.206,0.26,0.085
A18,4,B,1.5,1,0.456,0.297,0.438,0.084
A03,2,C,1.5,0,0.333,0.396,0.361,0.085
A03,3,C,1.5,0,0.228,0.363,0.273,0.083
A03,7,C,1.5,0,0.203,0.077,0.272,0.085
A03,8,C,1.5,0,0.211,0.076,0.21,0.085
A03,2,C,1.5,1,0.214,0.095,0.212,0.089
A03,3,C,1.5,1,0.202,0.145,0.198,0.083
A03,4,C,1.5,1,0.19,0.141,0.364,0.11
A03,8,C,1.5,1,0.13,0.114,0.242,0.098
A04,3,C,1.5,0,0.199,0.199,0.159,0.087
A04,5,C,1.5,0,0.218,0.108,0.14,0.084
A04,6,C,1.5,0,0.244,0.177,0.158,0.088
A04,7,C,1.5,0,0.241,0.12,0.181,0.087
A04,6,C,1.5,1,0.227,0.192,0.192,0.084
A04,7,C,1.5,1,0.207,0.079,0.264,0.086
A04,8,C,1.5,1,0.204,0.166,0.266,0.087
A04,9,C,1.5,1,0.2,0.079,0.263,0.098
A08,7,C,1.5,0,0.206,0.123,0.241,0.107
A08,8,C,1.5,0,0.194,0.23,0.266,0.119
A08,9,C,1.5,0,0.221,0.115,0.439,0.177
A08,10,C,1.5,0,0.152,0.214,0.312,0.139
A08,3,C,1.5,1,0.439,0.277,0.283,0.085
A08,4,C,1.5,1,0.193,0.09,0.283,0.096
A08,7,C,1.5,1,0.438,0.518,0.355,0.102
A08,8,C,1.5,1,0.258,0.104,0.376,0.107
A18,4,C,1.5,0,0.179,0.222,0.163,0.085
A18,5,C,1.5,0,0.168,0.084,0.22,0.082
A18,6,C,1.5,0,0.164,0.076,0.216,0.083
A18,7,C,1.5,0,0.16,0.087,0.224,0.083
A18,1,C,1.5,1,0.169,0.171,0.217,0.086
A18,2,C,1.5,1,0.132,0.165,0.32,0.149
A18,3,C,1.5,1,0.121,0.144,0.187,0.084
A18,4,C,1.5,1,0.088,0.178,0.301,0.117
A03,2,A,1.75,0,0.089,0.077,0.165,0.087
A03,3,A,1.75,0,0.106,0.105,0.262,0.085
A03,7,A,1.75,0,0.09,0.125,0.229,0.087
A03,8,A,1.75,0,0.103,0.121,0.26,0.085
A03,2,A,1.75,1,0.118,0.165,0.438,0.15
A03,3,A,1.75,1,0.104,0.141,0.303,0.102
A03,4,A,1.75,1,0.096,0.133,0.285,0.096
A03,8,A,1.75,1,0.097,0.154,0.309,0.123
A04,3,A,1.75,0,0.094,0.135,0.245,0.088
A04,5,A,1.75,0,0.095,0.144,0.245,0.087
A04,6,A,1.75,0,0.101,0.138,0.184,0.086
A04,7,A,1.75,0,0.091,0.204,0.139,0.09
A04,6,A,1.75,1,0.108,0.138,0.281,0.084
A04,7,A,1.75,1,0.115,0.136,0.308,0.085
A04,8,A,1.75,1,0.111,0.143,0.318,0.09
A04,9,A,1.75,1,0.122,0.153,0.342,0.092
A08,7,A,1.75,0,0.12,0.158,0.338,0.09
A08,8,A,1.75,0,0.123,0.158,0.339,0.091
A08,9,A,1.75,0,0.121,0.158,0.313,0.088
A08,10,A,1.75,0,0.124,0.16,0.334,0.088
A08,3,A,1.75,1,0.108,0.163,0.346,0.097
A08,4,A,1.75,1,0.099,0.158,0.501,0.116
A08,7,A,1.75,1,0.112,0.143,0.349,0.097
A08,8,A,1.75,1,0.103,0.14,0.281,0.096
A18,4,A,1.75,0,0.101,0.141,0.284,0.085
A18,5,A,1.75,0,0.117,0.16,0.321,0.092
A18,6,A,1.75,0,0.163,0.165,0.327,0.092
A18,7,A,1.75,0,0.124,0.162,0.331,0.093
A18,1,A,1.75,1,0.12,0.156,0.331,0.089
A18,2,A,1.75,1,0.124,0.184,0.382,0.114
A18,3,A,1.75,1,0.129,0.164,0.331,0.087
A18,4,A,1.75,1,0.127,0.146,0.304,0.09
A03,2,B,1.75,0,0.124,0.173,0.313,0.092
A03,3,B,1.75,0,0.11,0.172,0.296,0.086
A03,7,B,1.75,0,0.108,0.18,0.263,0.091
A03,8,B,1.75,0,0.105,0.174,0.229,0.088
A03,2,B,1.75,1,0.092,0.138,0.228,0.086
A03,3,B,1.75,1,0.115,0.155,0.316,0.09
A03,4,B,1.75,1,0.121,0.162,0.35,0.101
A03,8,B,1.75,1,0.147,0.169,0.365,0.111
A04,3,B,1.75,0,0.131,0.182,0.315,0.087
A04,5,B,1.75,0,0.14,0.162,0.325,0.088
A04,6,B,1.75,0,0.139,0.197,0.316,0.089
A04,7,B,1.75,0,0.156,0.184,0.279,0.101
A04,6,B,1.75,1,0.135,0.194,0.293,0.099
A04,7,B,1.75,1,0.111,0.208,0.279,0.087
A04,8,B,1.75,1,0.111,0.156,0.257,0.092
A04,9,B,1.75,1,0.112,0.152,0.234,0.095
A08,7,B,1.75,0,0.098,0.133,0.159,0.091
A08,8,B,1.75,0,0.097,0.152,0.229,0.09
A08,9,B,1.75,0,0.117,0.169,0.302,0.099
A08,10,B,1.75,0,0.114,0.155,0.301,0.093
A08,3,B,1.75,1,0.118,0.174,0.434,0.115
A08,4,B,1.75,1,0.13,0.188,0.549,0.162
A08,7,B,1.75,1,0.225,0.232,0.356,0.116
A08,8,B,1.75,1,0.124,0.214,0.363,0.113
A18,4,B,1.75,0,0.116,0.169,0.251,0.088
A18,5,B,1.75,0,0.112,0.19,0.287,0.097
A18,6,B,1.75,0,0.111,0.174,0.212,0.102
A18,7,B,1.75,0,0.101,0.149,0.141,0.091
A18,1,B,1.75,1,0.092,0.141,0.27,0.084
A18,2,B,1.75,1,0.103,0.162,0.306,0.104
A18,3,B,1.75,1,0.116,0.156,0.28,0.094
A18,4,B,1.75,1,0.121,0.15,0.296,0.089
A03,2,C,1.75,0,0.123,0.178,0.307,0.087
A03,3,C,1.75,0,0.126,0.195,0.318,0.089
A03,7,C,1.75,0,0.279,0.39,0.413,0.091
A03,8,C,1.75,0,0.128,0.195,0.275,0.091
A03,2,C,1.75,1,0.234,0.191,0.365,0.091
A03,3,C,1.75,1,0.118,0.223,0.291,0.092
A03,4,C,1.75,1,0.105,0.177,0.255,0.091
A03,8,C,1.75,1,0.093,0.144,0.149,0.086
A04,3,C,1.75,0,0.108,0.154,0.201,0.098
A04,5,C,1.75,0,0.105,0.167,0.254,0.091
A04,6,C,1.75,0,0.11,0.161,0.25,0.093
A04,7,C,1.75,0,0.116,0.168,0.264,0.095
A04,6,C,1.75,1,0.117,0.118,0.278,0.09
A04,7,C,1.75,1,0.121,0.162,0.291,0.093
A04,8,C,1.75,1,0.138,0.141,0.269,0.094
A04,9,C,1.75,1,0.12,0.238,0.298,0.092
A08,7,C,1.75,0,0.105,0.198,0.277,0.088
A08,8,C,1.75,0,0.111,0.087,0.278,0.091
A08,9,C,1.75,0,0.103,0.183,0.264,0.088
A08,10,C,1.75,0,0.108,0.204,0.243,0.089
A08,3,C,1.75,1,0.087,0.134,0.26,0.117
A08,4,C,1.75,1,0.089,0.148,0.4,0.156
A08,7,C,1.75,1,0.093,0.148,0.31,0.119
A08,8,C,1.75,1,0.097,0.154,0.392,0.14
A18,4,C,1.75,0,0.097,0.159,0.204,0.089
A18,5,C,1.75,0,0.092,0.113,0.209,0.085
A18,6,C,1.75,0,0.093,0.117,0.209,0.088
A18,7,C,1.75,0,0.095,0.129,0.223,0.09
A18,1,C,1.75,1,0.091,0.138,0.187,0.082
A18,2,C,1.75,1,0.097,0.157,0.212,0.089
A18,3,C,1.75,1,0.094,0.146,0.145,0.084
A18,4,C,1.75,1,0.088,0.127,0.13,0.083
