"strain","effectsize","stat","df","p"
"A03","0.241","-3.164","5.3","0.0231"
"A04","0.312","-2.032","3.56","0.1206"
"A08","0.429","-8.295","6","2e-04"
"A18","0.52","-6.474","4.49","0.0019"
