"strain","effectsize","stat","df","p"
"A03","0.75","-5.529","3.23","0.0096"
"A04","0.498","-4.284","3.96","0.0131"
"A08","0.113","-5.333","4.6","0.004"
"A18","0.583","-2.27","3","0.1079"
