"strain","effectsize","stat","df","p"
"A03","0.015","-3.681","5.99","0.0104"
"A04","0","-0.032","5.55","0.9756"
"A08","0.005","-0.549","5.93","0.6031"
"A18","-0.006","0.507","2.38","0.6552"
