"strain","effectsize","stat","df","p"
"A03","0.539","-6.251","3.62","0.0046"
"A04","0.292","-1.749","3.33","0.1696"
"A08","0.732","-27.783","3.72","0"
"A18","0.511","-6.216","4.33","0.0026"
