"strain","effectsize","stat","df","p"
"A03","0.265","-5.696","5.79","0.0014"
"A04","0.223","-3.055","6","0.0224"
"A08","0.41","-30.869","5.73","0"
"A18","0.325","-6.467","2.39","0.0144"
