"strain","effectsize","stat","df","p"
"A03","0.145","-2.345","3.38","0.0909"
"A04","0.1","-2.575","3.05","0.0808"
"A08","0.595","-8.01","3.26","0.003"
"A18","0.074","-1.981","4.12","0.1165"
