"strain","effectsize","stat","df","p"
"A03","0.027","-1.466","5.7","0.1957"
"A04","0.036","-3.563","3.48","0.0296"
"A08","0.097","-2.697","3.33","0.0661"
"A18","0.009","-0.569","4.81","0.5949"
