"strain","effectsize","stat","df","p"
"A03","0.28","-4.414","5.42","0.0057"
"A04","0.225","-2.481","5.52","0.0512"
"A08","0.474","-17.826","3.33","2e-04"
"A18","0.354","-6.354","3.27","0.0061"
