"strain","effectsize","stat","df","p"
"A03","0.714","-3.973","3","0.0285"
"A04","0.529","-2.403","3.02","0.0952"
"A08","0.79","-39.805","5.98","0"
"A18","0.428","-1.667","3.07","0.192"
