"strain","effectsize","stat","df","p"
"A03","0.123","-2.411","5.12","0.0596"
"A04","0.313","-3.957","3.29","0.0242"
"A08","0.285","-10.053","3.18","0.0016"
"A18","0.354","-11.307","2.91","0.0017"
