"strain","effectsize","stat","df","p"
"A03","0.295","-2.215","3.07","0.1115"
"A04","0.015","-0.659","3.38","0.5522"
"A08","0.533","-6.301","4.46","0.0022"
"A18","0.121","-1.129","3.08","0.3391"
