"strain","effectsize","stat","df","p"
"A03","0.469","-7.011","4.07","0.002"
"A04","0.259","-2.172","3.49","0.1056"
"A08","0.532","-70.263","5.62","0"
"A18","0.469","-7.769","4.46","9e-04"
