"strain","effectsize","stat","df","p"
"A03","0.001","-0.071","4.12","0.9463"
"A04","-0.003","0.39","3.52","0.7193"
"A08","0.034","-1.53","3.35","0.2142"
"A18","0.037","-2.068","3.18","0.1253"
