"strain","effectsize","stat","df","p"
"A03","0.138","-1.852","5.41","0.1188"
"A04","0.344","-4.113","5.79","0.0068"
"A08","0.014","-1.507","4.25","0.2023"
"A18","0.343","-10.865","4.45","2e-04"
