"strain","effectsize","stat","df","p"
"A03","-0.004","0.285","5.76","0.7859"
"A04","0.003","-1.214","4.29","0.2875"
"A08","0.004","-0.386","3.2","0.7235"
"A18","-0.003","0.459","2.97","0.6778"
