"name","line","type","RAD80","RAD50","RAD20","FoG80","FoG50","FoG20","slope"
"A18_R2C_EVO","A18","R2C",10,12,12,0.07,0.11,0.1,254.2
"A18_R3A_EVO","A18","R3A",11,12,13,0.06,0.08,0.11,288
"A18_R3B_EVO","A18","R3B",9,10,11,0.06,0.08,0.11,289
"A18_R3C_EVO","A18","R3C",10,12,13,0.05,0.1,0.14,291.6
"A18_R4A_EVO","A18","R4A",10,11,12,0.07,0.1,0.12,299.6
"A18_R4A_T0","A18","R4A",13,14,15,0.05,0.07,0.1,264.7
"A18_R4B_EVO","A18","R4B",10,11,12,0.06,0.09,0.11,315.5
"A18_R4B_T0","A18","R4B",12,13,14,0.05,0.06,0.09,271.6
"A18_R4C_EVO","A18","R4C",11,12,13,0.06,0.09,0.12,315.3
"A18_R4C_T0","A18","R4C",12,13,14,0.06,0.08,0.11,275.5
"A18_R5A_T0","A18","R5A",13,14,15,0.06,0.08,0.12,254.8
"A18_R5B_T0","A18","R5B",10,11,12,0.05,0.08,0.11,262.7
"A18_R5C_T0","A18","R5C",13,14,15,0.06,0.08,0.12,272.4
"A18_R7A_T0","A18","R7A",11,12,13,0.12,0.11,0.14,263.8
"A18_R7B_T0","A18","R7B",10,11,12,0.06,0.08,0.13,242.1
"A18_R7C_T0","A18","R7C",12,13,14,0.05,0.07,0.1,252.1
"A18_R8A_T0","A18","R8A",13,14,15,0.06,0.08,0.12,277.8
"A18_R8B_T0","A18","R8B",10,12,12,0.06,0.11,0.1,279.2
"A18_R8C_T0","A18","R8C",10,11,12,0.07,0.09,0.12,292.7
