Strain,Replicate,Concentration,Date_short,Date_long,Date
A10,R12,1.25,16-Oct,2019-10-16,16-Oct
A10,R02,1.25,21-Oct,2019-10-21,21-Oct
A10,R03,1.25,18-Oct,2019-10-18,18-Oct
A10,R04,1.25,21-Oct,2019-10-21,21-Oct
A10,R05,1.25,18-Oct,2019-10-18,18-Oct
A10,R03,1.5,25-Oct,2019-10-25,25-Oct
A10,R05,1.5,25-Oct,2019-10-25,25-Oct
A10,R03,1.5,28-Oct,2019-10-28,28-Oct
A10,R05,1.5,30-Oct,2019-10-30,30-Oct
A10,R03,1.5,30-Oct,2019-10-30,30-Oct
A10,R05,1.5,04-Nov,2019-11-04,04-Nov
A10,R03,1.5,04-Nov,2019-11-04,04-Nov
A10,R05,1.5,06-Nov,2019-11-06,06-Nov
A10,R03,1.5,06-Nov,2019-11-06,06-Nov
A10,R05,1.5,12-Nov,2019-11-12,12-Nov
A10,R05,1.75,16-Nov,2019-11-16,16-Nov
A10,R05,1.75,19-Nov,2019-11-19,19-Nov
A10,R05,1.75,21-Nov,2019-11-21,21-Nov
A10,R05,1.75,28-Nov,2019-11-28,28-Nov
A10,R05,1.75,02-Dec,2019-12-02,02-Dec
A10,R05,2,04-Dec,2019-12-04,04-Dec
A12,R01,0.78,10-Oct,2019-10-10,10-Oct
A12,R02,0.78,10-Oct,2019-10-10,10-Oct
A12,R03,0.78,10-Oct,2019-10-10,10-Oct
A12,R04,0.78,10-Oct,2019-10-10,10-Oct
A12,R05,0.78,10-Oct,2019-10-10,10-Oct
A12,R06,0.78,10-Oct,2019-10-10,10-Oct
A12,R07,0.78,10-Oct,2019-10-10,10-Oct
A12,R08,0.78,10-Oct,2019-10-10,10-Oct
A12,R09,0.78,10-Oct,2019-10-10,10-Oct
A12,R10,0.78,10-Oct,2019-10-10,10-Oct
A12,R11,0.78,10-Oct,2019-10-10,10-Oct
A12,R12,0.78,10-Oct,2019-10-10,10-Oct
A12,R01,1,11-Oct,2019-10-11,11-Oct
A12,R02,1,11-Oct,2019-10-11,11-Oct
A12,R03,1,11-Oct,2019-10-11,11-Oct
A12,R04,1,11-Oct,2019-10-11,11-Oct
A12,R05,1,11-Oct,2019-10-11,11-Oct
A12,R06,1,11-Oct,2019-10-11,11-Oct
A12,R07,1,11-Oct,2019-10-11,11-Oct
A12,R08,1,11-Oct,2019-10-11,11-Oct
A12,R09,1,11-Oct,2019-10-11,11-Oct
A12,R10,1,11-Oct,2019-10-11,11-Oct
A12,R11,1,11-Oct,2019-10-11,11-Oct
A12,R12,1,11-Oct,2019-10-11,11-Oct
A12,R01,1,14-Oct,2019-10-14,14-Oct
A12,R02,1,14-Oct,2019-10-14,14-Oct
A12,R03,1,14-Oct,2019-10-14,14-Oct
A12,R04,1,14-Oct,2019-10-14,14-Oct
A12,R05,1,14-Oct,2019-10-14,14-Oct
A12,R06,1,14-Oct,2019-10-14,14-Oct
A12,R07,1,14-Oct,2019-10-14,14-Oct
A12,R08,1,14-Oct,2019-10-14,14-Oct
A12,R09,1,14-Oct,2019-10-14,14-Oct
A12,R10,1,14-Oct,2019-10-14,14-Oct
A12,R11,1,14-Oct,2019-10-14,14-Oct
A12,R12,1,14-Oct,2019-10-14,14-Oct
A12,R01,1.25,16-Oct,2019-10-16,16-Oct
A12,R02,1.25,16-Oct,2019-10-16,16-Oct
A12,R03,1.25,16-Oct,2019-10-16,16-Oct
A12,R04,1.25,16-Oct,2019-10-16,16-Oct
A12,R05,1.25,16-Oct,2019-10-16,16-Oct
A12,R06,1.25,16-Oct,2019-10-16,16-Oct
A12,R07,1.25,16-Oct,2019-10-16,16-Oct
A12,R08,1.25,16-Oct,2019-10-16,16-Oct
A12,R09,1.25,16-Oct,2019-10-16,16-Oct
A12,R10,1.25,16-Oct,2019-10-16,16-Oct
A12,R11,1.25,16-Oct,2019-10-16,16-Oct
A12,R12,1.25,16-Oct,2019-10-16,16-Oct
A12,R02,1.25,21-Oct,2019-10-21,21-Oct
A12,R03,1.25,21-Oct,2019-10-21,21-Oct
A12,R04,1.25,21-Oct,2019-10-21,21-Oct
A12,R05,1.25,21-Oct,2019-10-21,21-Oct
A12,R06,1.25,21-Oct,2019-10-21,21-Oct
A12,R07,1.25,22-Oct,2019-10-22,22-Oct
A12,R09,1.25,21-Oct,2019-10-21,21-Oct
A12,R10,1.25,21-Oct,2019-10-21,21-Oct
A12,R12,1.25,22-Oct,2019-10-22,22-Oct
A12,R02,1.5,22-Oct,2019-10-22,22-Oct
A12,R03,1.5,22-Oct,2019-10-22,22-Oct
A12,R04,1.5,22-Oct,2019-10-22,22-Oct
A12,R05,1.5,28-Oct,2019-10-28,28-Oct
A12,R06,1.5,28-Oct,2019-10-28,28-Oct
A12,R07,1.5,28-Oct,2019-10-28,28-Oct
A12,R09,1.5,28-Oct,2019-10-28,28-Oct
A12,R10,1.5,28-Oct,2019-10-28,28-Oct
A12,R12,1.5,28-Oct,2019-10-28,28-Oct
A12,R02,1.5,25-Oct,2019-10-25,25-Oct
A12,R03,1.5,25-Oct,2019-10-25,25-Oct
A12,R04,1.5,25-Oct,2019-10-25,25-Oct
A12,R05,1.5,30-Oct,2019-10-30,30-Oct
A12,R06,1.5,30-Oct,2019-10-30,30-Oct
A12,R07,1.5,30-Oct,2019-10-30,30-Oct
A12,R09,1.5,30-Oct,2019-10-30,30-Oct
A12,R10,1.5,30-Oct,2019-10-30,30-Oct
A12,R05,1.5,01-Nov,2019-11-01,01-Nov
A12,R06,1.5,31-Oct,2019-10-31,31-Oct
A12,R07,1.5,01-Nov,2019-11-01,01-Nov
A12,R09,1.5,01-Nov,2019-11-01,01-Nov
A12,R10,1.5,01-Nov,2019-11-01,01-Nov
A12,R05,1.5,04-Nov,2019-11-04,04-Nov
A12,R06,1.5,01-Nov,2019-11-01,01-Nov
A12,R07,1.5,04-Nov,2019-11-04,04-Nov
A12,R09,1.5,04-Nov,2019-11-04,04-Nov
A12,R10,1.5,04-Nov,2019-11-04,04-Nov
A12,R05,1.5,06-Nov,2019-11-06,06-Nov
A12,R06,1.5,04-Nov,2019-11-04,04-Nov
A12,R07,1.5,06-Nov,2019-11-06,06-Nov
A12,R09,1.5,06-Nov,2019-11-06,06-Nov
A12,R10,1.5,06-Nov,2019-11-06,06-Nov
A12,R05,1.75,12-Nov,2019-11-12,12-Nov
A12,R06,1.75,06-Nov,2019-11-06,06-Nov
A12,R07,1.75,08-Nov,2019-11-08,08-Nov
A12,R09,1.75,08-Nov,2019-11-08,08-Nov
A12,R10,1.75,08-Nov,2019-11-08,08-Nov
A12,R05,1.75,16-Nov,2019-11-16,16-Nov
A12,R06,1.75,08-Nov,2019-11-08,08-Nov
A12,R07,1.75,12-Nov,2019-11-12,12-Nov
A12,R09,1.75,12-Nov,2019-11-12,12-Nov
A12,R10,1.75,12-Nov,2019-11-12,12-Nov
A12,R05,1.75,21-Nov,2019-11-21,21-Nov
A12,R06,1.75,12-Nov,2019-11-12,12-Nov
A12,R07,1.75,16-Nov,2019-11-16,16-Nov
A12,R09,1.75,16-Nov,2019-11-16,16-Nov
A12,R10,1.75,16-Nov,2019-11-16,16-Nov
A12,R05,1.75,28-Nov,2019-11-28,28-Nov
A12,R06,1.75,16-Nov,2019-11-16,16-Nov
A12,R07,1.75,21-Nov,2019-11-21,21-Nov
A12,R09,1.75,21-Nov,2019-11-21,21-Nov
A12,R10,1.75,21-Nov,2019-11-21,21-Nov
A12,R05,1.75,30-Nov,2019-11-30,30-Nov
A12,R06,1.75,21-Nov,2019-11-21,21-Nov
A12,R07,1.75,28-Nov,2019-11-28,28-Nov
A12,R09,1.75,28-Nov,2019-11-28,28-Nov
A12,R10,1.75,28-Nov,2019-11-28,28-Nov
A12,R05,2,02-Dec,2019-12-02,02-Dec
A12,R06,2,28-Nov,2019-11-28,28-Nov
A12,R07,2,02-Dec,2019-12-02,02-Dec
A12,R09,2,02-Dec,2019-12-02,02-Dec
A12,R10,2,02-Dec,2019-12-02,02-Dec
A12,R05,2,04-Dec,2019-12-04,04-Dec
A12,R06,2,02-Dec,2019-12-02,02-Dec
A12,R07,2,04-Dec,2019-12-04,04-Dec
A12,R09,2,04-Dec,2019-12-04,04-Dec
A12,R10,2,04-Dec,2019-12-04,04-Dec
A12,R06,2,06-Dec,2019-12-06,06-Dec
A12,R07,2,06-Dec,2019-12-06,06-Dec
A12,R09,2,09-Dec,2019-12-09,09-Dec
A12,R10,2,09-Dec,2019-12-09,09-Dec
A12,R06,2,09-Dec,2019-12-09,09-Dec
A12,R07,2,09-Dec,2019-12-09,09-Dec
A17,R01,0.78,10-Oct,2019-10-10,10-Oct
A17,R02,0.78,10-Oct,2019-10-10,10-Oct
A17,R03,0.78,10-Oct,2019-10-10,10-Oct
A17,R04,0.78,10-Oct,2019-10-10,10-Oct
A17,R05,0.78,10-Oct,2019-10-10,10-Oct
A17,R06,0.78,10-Oct,2019-10-10,10-Oct
A17,R07,0.78,10-Oct,2019-10-10,10-Oct
A17,R08,0.78,10-Oct,2019-10-10,10-Oct
A17,R09,0.78,10-Oct,2019-10-10,10-Oct
A17,R10,0.78,10-Oct,2019-10-10,10-Oct
A17,R11,0.78,10-Oct,2019-10-10,10-Oct
A17,R12,0.78,10-Oct,2019-10-10,10-Oct
A17,R01,1,11-Oct,2019-10-11,11-Oct
A17,R02,1,11-Oct,2019-10-11,11-Oct
A17,R03,1,11-Oct,2019-10-11,11-Oct
A17,R04,1,11-Oct,2019-10-11,11-Oct
A17,R05,1,11-Oct,2019-10-11,11-Oct
A17,R06,1,11-Oct,2019-10-11,11-Oct
A17,R07,1,11-Oct,2019-10-11,11-Oct
A17,R08,1,11-Oct,2019-10-11,11-Oct
A17,R09,1,11-Oct,2019-10-11,11-Oct
A17,R10,1,11-Oct,2019-10-11,11-Oct
A17,R11,1,11-Oct,2019-10-11,11-Oct
A17,R12,1,11-Oct,2019-10-11,11-Oct
A17,R01,1,14-Oct,2019-10-14,14-Oct
A17,R02,1,14-Oct,2019-10-14,14-Oct
A17,R03,1,14-Oct,2019-10-14,14-Oct
A17,R04,1,14-Oct,2019-10-14,14-Oct
A17,R05,1,14-Oct,2019-10-14,14-Oct
A17,R06,1,14-Oct,2019-10-14,14-Oct
A17,R07,1,14-Oct,2019-10-14,14-Oct
A17,R08,1,14-Oct,2019-10-14,14-Oct
A17,R09,1,14-Oct,2019-10-14,14-Oct
A17,R10,1,14-Oct,2019-10-14,14-Oct
A17,R11,1,14-Oct,2019-10-14,14-Oct
A17,R12,1,14-Oct,2019-10-14,14-Oct
A17,R01,1.25,16-Oct,2019-10-16,16-Oct
A17,R02,1.25,16-Oct,2019-10-16,16-Oct
A17,R03,1.25,16-Oct,2019-10-16,16-Oct
A17,R04,1.25,16-Oct,2019-10-16,16-Oct
A17,R05,1.25,16-Oct,2019-10-16,16-Oct
A17,R06,1.25,16-Oct,2019-10-16,16-Oct
A17,R07,1.25,16-Oct,2019-10-16,16-Oct
A17,R08,1.25,16-Oct,2019-10-16,16-Oct
A17,R09,1.25,16-Oct,2019-10-16,16-Oct
A17,R10,1.25,16-Oct,2019-10-16,16-Oct
A17,R11,1.25,16-Oct,2019-10-16,16-Oct
A17,R12,1.25,16-Oct,2019-10-16,16-Oct
A17,R02,1.25,22-Oct,2019-10-22,22-Oct
A17,R03,1.25,22-Oct,2019-10-22,22-Oct
A17,R04,1.25,22-Oct,2019-10-22,22-Oct
A17,R07,1.25,22-Oct,2019-10-22,22-Oct
A17,R02,1.5,25-Oct,2019-10-25,25-Oct
A17,R03,1.5,28-Oct,2019-10-28,28-Oct
A17,R04,1.5,25-Oct,2019-10-25,25-Oct
A17,R07,1.5,28-Oct,2019-10-28,28-Oct
A17,R02,1.5,28-Oct,2019-10-28,28-Oct
A17,R04,1.5,28-Oct,2019-10-28,28-Oct
A17,R07,1.5,30-Oct,2019-10-30,30-Oct
A17,R02,1.5,31-Oct,2019-10-31,31-Oct
A17,R04,1.5,30-Oct,2019-10-30,30-Oct
A17,R07,1.5,01-Nov,2019-11-01,01-Nov
A17,R02,1.5,04-Nov,2019-11-04,04-Nov
A17,R04,1.5,01-Nov,2019-11-01,01-Nov
A17,R07,1.5,04-Nov,2019-11-04,04-Nov
A17,R02,1.5,06-Nov,2019-11-06,06-Nov
A17,R04,1.5,04-Nov,2019-11-04,04-Nov
A17,R07,1.5,08-Nov,2019-11-08,08-Nov
A17,R02,1.75,12-Nov,2019-11-12,12-Nov
A17,R04,1.75,08-Nov,2019-11-08,08-Nov
A17,R07,1.75,12-Nov,2019-11-12,12-Nov
A17,R02,1.75,16-Nov,2019-11-16,16-Nov
A17,R04,1.75,12-Nov,2019-11-12,12-Nov
A17,R07,1.75,16-Nov,2019-11-16,16-Nov
A17,R02,1.75,21-Nov,2019-11-21,21-Nov
A17,R04,1.75,16-Nov,2019-11-16,16-Nov
A17,R07,1.75,21-Nov,2019-11-21,21-Nov
A17,R02,1.75,28-Nov,2019-11-28,28-Nov
A17,R07,1.75,28-Nov,2019-11-28,28-Nov
A17,R02,2,02-Dec,2019-12-02,02-Dec
A17,R07,2,02-Dec,2019-12-02,02-Dec
A17,R02,2,09-Dec,2019-12-09,09-Dec
A17,R07,2,06-Dec,2019-12-06,06-Dec
A18,R01,0.78,10-Oct,2019-10-10,10-Oct
A18,R02,0.78,10-Oct,2019-10-10,10-Oct
A18,R03,0.78,10-Oct,2019-10-10,10-Oct
A18,R04,0.78,10-Oct,2019-10-10,10-Oct
A18,R05,0.78,10-Oct,2019-10-10,10-Oct
A18,R06,0.78,10-Oct,2019-10-10,10-Oct
A18,R07,0.78,10-Oct,2019-10-10,10-Oct
A18,R08,0.78,10-Oct,2019-10-10,10-Oct
A18,R09,0.78,10-Oct,2019-10-10,10-Oct
A18,R10,0.78,10-Oct,2019-10-10,10-Oct
A18,R11,0.78,10-Oct,2019-10-10,10-Oct
A18,R12,0.78,10-Oct,2019-10-10,10-Oct
A18,R01,1,11-Oct,2019-10-11,11-Oct
A18,R02,1,11-Oct,2019-10-11,11-Oct
A18,R03,1,11-Oct,2019-10-11,11-Oct
A18,R04,1,11-Oct,2019-10-11,11-Oct
A18,R05,1,11-Oct,2019-10-11,11-Oct
A18,R06,1,11-Oct,2019-10-11,11-Oct
A18,R07,1,11-Oct,2019-10-11,11-Oct
A18,R08,1,11-Oct,2019-10-11,11-Oct
A18,R09,1,11-Oct,2019-10-11,11-Oct
A18,R10,1,11-Oct,2019-10-11,11-Oct
A18,R11,1,11-Oct,2019-10-11,11-Oct
A18,R12,1,11-Oct,2019-10-11,11-Oct
A18,R01,1,14-Oct,2019-10-14,14-Oct
A18,R02,1,14-Oct,2019-10-14,14-Oct
A18,R03,1,14-Oct,2019-10-14,14-Oct
A18,R04,1,14-Oct,2019-10-14,14-Oct
A18,R05,1,14-Oct,2019-10-14,14-Oct
A18,R06,1,14-Oct,2019-10-14,14-Oct
A18,R07,1,14-Oct,2019-10-14,14-Oct
A18,R08,1,14-Oct,2019-10-14,14-Oct
A18,R09,1,14-Oct,2019-10-14,14-Oct
A18,R10,1,14-Oct,2019-10-14,14-Oct
A18,R11,1,14-Oct,2019-10-14,14-Oct
A18,R12,1,14-Oct,2019-10-14,14-Oct
A18,R01,1.25,16-Oct,2019-10-16,16-Oct
A18,R02,1.25,16-Oct,2019-10-16,16-Oct
A18,R03,1.25,16-Oct,2019-10-16,16-Oct
A18,R04,1.25,16-Oct,2019-10-16,16-Oct
A18,R05,1.25,16-Oct,2019-10-16,16-Oct
A18,R06,1.25,16-Oct,2019-10-16,16-Oct
A18,R07,1.25,16-Oct,2019-10-16,16-Oct
A18,R08,1.25,16-Oct,2019-10-16,16-Oct
A18,R09,1.25,16-Oct,2019-10-16,16-Oct
A18,R10,1.25,16-Oct,2019-10-16,16-Oct
A18,R11,1.25,16-Oct,2019-10-16,16-Oct
A18,R12,1.25,16-Oct,2019-10-16,16-Oct
A18,R01,1.25,21-Oct,2019-10-21,21-Oct
A18,R02,1.25,21-Oct,2019-10-21,21-Oct
A18,R03,1.25,21-Oct,2019-10-21,21-Oct
A18,R04,1.25,21-Oct,2019-10-21,21-Oct
A18,R05,1.25,21-Oct,2019-10-21,21-Oct
A18,R06,1.25,21-Oct,2019-10-21,21-Oct
A18,R01,1.5,25-Oct,2019-10-25,25-Oct
A18,R02,1.5,25-Oct,2019-10-25,25-Oct
A18,R03,1.5,25-Oct,2019-10-25,25-Oct
A18,R04,1.5,25-Oct,2019-10-25,25-Oct
A18,R05,1.5,23-Oct,2019-10-23,23-Oct
A18,R06,1.5,25-Oct,2019-10-25,25-Oct
A18,R01,1.5,28-Oct,2019-10-28,28-Oct
A18,R02,1.5,28-Oct,2019-10-28,28-Oct
A18,R03,1.5,28-Oct,2019-10-28,28-Oct
A18,R04,1.5,28-Oct,2019-10-28,28-Oct
A18,R05,1.5,25-Oct,2019-10-25,25-Oct
A18,R06,1.5,28-Oct,2019-10-28,28-Oct
A18,R01,1.5,30-Oct,2019-10-30,30-Oct
A18,R02,1.5,30-Oct,2019-10-30,30-Oct
A18,R03,1.5,30-Oct,2019-10-30,30-Oct
A18,R04,1.5,30-Oct,2019-10-30,30-Oct
A18,R05,1.5,28-Oct,2019-10-28,28-Oct
A18,R06,1.5,30-Oct,2019-10-30,30-Oct
A18,R01,1.5,01-Nov,2019-11-01,01-Nov
A18,R02,1.5,01-Nov,2019-11-01,01-Nov
A18,R03,1.5,01-Nov,2019-11-01,01-Nov
A18,R04,1.5,01-Nov,2019-11-01,01-Nov
A18,R05,1.5,30-Oct,2019-10-30,30-Oct
A18,R06,1.5,01-Nov,2019-11-01,01-Nov
A18,R01,1.5,04-Nov,2019-11-04,04-Nov
A18,R02,1.5,04-Nov,2019-11-04,04-Nov
A18,R03,1.5,04-Nov,2019-11-04,04-Nov
A18,R04,1.5,04-Nov,2019-11-04,04-Nov
A18,R05,1.5,01-Nov,2019-11-01,01-Nov
A18,R06,1.5,04-Nov,2019-11-04,04-Nov
A18,R01,1.75,06-Nov,2019-11-06,06-Nov
A18,R02,1.75,06-Nov,2019-11-06,06-Nov
A18,R03,1.75,06-Nov,2019-11-06,06-Nov
A18,R04,1.75,08-Nov,2019-11-08,08-Nov
A18,R05,1.75,04-Nov,2019-11-04,04-Nov
A18,R06,1.75,06-Nov,2019-11-06,06-Nov
A18,R01,1.75,12-Nov,2019-11-12,12-Nov
A18,R02,1.75,12-Nov,2019-11-12,12-Nov
A18,R03,1.75,12-Nov,2019-11-12,12-Nov
A18,R04,1.75,12-Nov,2019-11-12,12-Nov
A18,R05,1.75,08-Nov,2019-11-08,08-Nov
A18,R06,1.75,12-Nov,2019-11-12,12-Nov
A18,R01,1.75,16-Nov,2019-11-16,16-Nov
A18,R02,1.75,16-Nov,2019-11-16,16-Nov
A18,R03,1.75,16-Nov,2019-11-16,16-Nov
A18,R04,1.75,16-Nov,2019-11-16,16-Nov
A18,R05,1.75,12-Nov,2019-11-12,12-Nov
A18,R06,1.75,16-Nov,2019-11-16,16-Nov
A18,R01,1.75,21-Nov,2019-11-21,21-Nov
A18,R02,1.75,21-Nov,2019-11-21,21-Nov
A18,R03,1.75,21-Nov,2019-11-21,21-Nov
A18,R04,1.75,21-Nov,2019-11-21,21-Nov
A18,R05,1.75,16-Nov,2019-11-16,16-Nov
A18,R06,1.75,21-Nov,2019-11-21,21-Nov
A18,R01,1.75,29-Nov,2019-11-29,29-Nov
A18,R02,1.75,29-Nov,2019-11-29,29-Nov
A18,R03,1.75,29-Nov,2019-11-29,29-Nov
A18,R04,1.75,29-Nov,2019-11-29,29-Nov
A18,R05,1.75,21-Nov,2019-11-21,21-Nov
A18,R01,2,04-Dec,2019-12-04,04-Dec
A18,R02,2,04-Dec,2019-12-04,04-Dec
A18,R03,2,04-Dec,2019-12-04,04-Dec
A18,R04,2,02-Dec,2019-12-02,02-Dec
