"strain","replicate","conc1","conc2","dayInterval"
"A18","R05",1.5,1.5,2
"A18","R05",1.5,1.5,2
"A18","R05",1.5,1.75,3
"A18","R05",1.75,1.75,4
"A18","R05",1.75,1.75,4
"A18","R05",1.75,1.75,4
"A18","R05",1.75,1.75,5
"A18","R06",0.78,1,1
"A18","R06",1,1,3
"A18","R06",1,1.25,2
"A18","R06",1.25,1.25,5
"A18","R06",1.25,1.5,4
"A18","R06",1.5,1.5,3
"A18","R06",1.5,1.5,2
"A18","R06",1.5,1.5,2
"A18","R06",1.5,1.5,3
"A18","R06",1.5,1.75,2
"A18","R06",1.75,1.75,6
"A18","R06",1.75,1.75,4
"A18","R06",1.75,1.75,5
"A18","R07",0.78,1,1
"A18","R07",1,1,3
"A18","R07",1,1.25,2
"A18","R08",0.78,1,1
"A18","R08",1,1,3
"A18","R08",1,1.25,2
"A18","R09",0.78,1,1
"A18","R09",1,1,3
"A18","R09",1,1.25,2
"A18","R10",0.78,1,1
"A18","R10",1,1,3
"A18","R10",1,1.25,2
"A18","R11",0.78,1,1
"A18","R11",1,1,3
"A18","R11",1,1.25,2
"A18","R12",0.78,1,1
"A18","R12",1,1,3
"A18","R12",1,1.25,2
